,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid,1.0,1.0000001192092896,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrocarbons,1.0,1.0,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.6314524412155151,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,the police and the armed forces,1.0,0.9196939468383789,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Prince of Wales Island,0.0,0.3228209316730499,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro,1.0,1.0,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,freeware,1.0,0.0915556401014328,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialects,1.0,0.19023947417736053,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.5411341190338135,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,"producing mostly inexpensive melodramas, westerns and serials.
In its early years Universal released three brands of feature films — Red Feather, low-budget programmers",1.0,0.43101710081100464,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,John Still Winthrop,0.0,0.21359458565711975,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.000000238418579,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Holocaust,1.0,0.49641337990760803,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1990,1.0,0.8865286111831665,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,Unpopulated boards,1.0,0.1567164659500122,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",the BBC and Sky Sports,1.0,0.5244464874267578,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,1%,0.0,0.6690473556518555,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1890,0.0,0.5200237035751343,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,1.0,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.8146733641624451,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,egalitarian society,0.0,0.2598000168800354,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,Buddhist monks,1.0,0.4105408191680908,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,four,0.0,1.0,0.0,0.0,0.0
23,When did an investigation occur under school casualties?,December 2008,"July 17, 2008",1.0,0.7301821708679199,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,159,1.0,0.13035710155963898,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,"workers, peasants, and petty bourgeois",0.0,0.028860613703727722,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1226,1.0,1.0,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,personality and contextual factors,1.0,1.0000001192092896,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.","There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the basin during the LGM was lower than for the present, and this was almost certainly associated with reduced moist tropical vegetation cover in the basin. There is debate, however, over how extensive this reduction was. Some scientists argue that the rainforest was reduced to small, isolated refugia separated by open forest and grassland; other scientists argue that the rainforest remained largely intact",1.0,0.5542995929718018,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,science fiction,1.0,0.7908023595809937,1.0,1.0,1.0
30,Who had issues with JFK's proposal?,NAACP,NAACP,1.0,1.0,1.0,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,deployment of heavy jets with full loadouts,1.0,1.0,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,Fishers Nose,0.0,0.08904465287923813,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Spirochaetes,1.0,0.7032971382141113,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,local governments,0.0,0.12499906122684479,0.0,0.0,0.0
35,What did the Guardian name her?,Artist of the Decade,Alexandrina Victoria,0.0,0.25781285762786865,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.8430033326148987,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,Atlantic ocean,1.0,0.8204908967018127,1.0,1.0,1.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic,1.0,0.8544268012046814,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,0.9999998807907104,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",censuses did not identify slaves by name before the American Civil War,1.0,0.5044546127319336,1.0,1.0,1.0
41,When did the first free election take place?,1492,2005,0.0,0.39070039987564087,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,zoology,1.0,1.0000001192092896,1.0,1.0,1.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,mutineering Mende tribesmen being transported as slaves on the Spanish slaveship Amistad,1.0,0.2679709196090698,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,Rossiyskaya Gazeta,1.0,1.0,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Freedom 7,1.0,0.3289055824279785,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,a mixture of either pure or fairly pure chemical elements,1.0,0.731657862663269,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,Corunna,0.0,0.1825900673866272,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,In March 2008,1.0,0.21616818010807037,1.0,1.0,1.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,the state is a net beneficiary,1.0,0.6585330963134766,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet,1.0,1.0,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,race has real material effects in the lives of people through institutionalized practices of preference and discrimination,0.0,0.2238040268421173,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,Portuguese Escudo,1.0,1.0,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468","2,138",0.0,0.3916783332824707,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,qū,1.0,0.9999999403953552,1.0,1.0,1.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,to advance into Bohemia,1.0,0.5709246397018433,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,2001,1.0,1.0,1.0,1.0,1.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Clement Greenberg,1.0,0.9689548015594482,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots","tumbling, strength, power, and martial arts skills",0.0,0.22767502069473267,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,England,1.0,0.4541459083557129,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,Alexander the Great,1.0,1.0,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,Neognathes,1.0,0.3808113932609558,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,Tuareg,0.0,0.45983582735061646,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,Mongol invasions,1.0,0.5436674356460571,1.0,1.0,1.0
