,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Lucretius,0.0,-0.020775793120265007,0.0,0.0,0.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrocarbons,1.0,1.0,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,most expensive,1.0,0.08927831798791885,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,the police and the armed forces,1.0,0.9664430618286133,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Staten Island and Lower Manhattan,0.0,0.2541459798812866,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Rosetta,1.0,-0.056440066546201706,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,VoIP,1.0,0.21266984939575195,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialects,1.0,0.36446619033813477,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.5159343481063843,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,production,1.0,0.6956731081008911,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,William,0.0,0.11915794759988785,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.0,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,0.9999999403953552,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1862,1.0,0.45210760831832886,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",ITV,1.0,0.050250161439180374,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,78.9%,0.0,0.8458247780799866,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1862,0.0,0.6269630193710327,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,0.9999999403953552,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.843475341796875,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,law enforcement activity in sex trafficking cases,0.0,0.13233405351638794,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,"Malaysia and Indonesia, โรงเรียนศาสนาอิสลาม (Thai: school of Islam) in Thailand and madaris in the Philippines. In countries where Islam is not the majority or state religion, Islamic schools are found in regions such as southern Thailand",0.0,0.27220019698143005,0.0,0.0,0.0
22,How many years does the term of a Richmond city council representative last?,four,one,1.0,0.507332980632782,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,"a week before the attacks, called for a re-engineering of FBI structure and operations. He made countering every federal crime a top priority, including the prevention of terrorism, countering foreign intelligence operations, addressing cyber security threats, other high-tech crimes, protecting civil rights, combating public corruption, organized crime, white-collar crime, and major acts of violent crime.
On July 8, 2007",0.0,0.09364563971757889,0.0,0.0,0.0
24,How did Liang Ji die?,forced to commit suicide,secretly poisoned,0.0,0.34099817276000977,0.0,0.0,0.0
25,Who supported the reaction against the government?,Durango,The Soviet people and the working people of Germany,0.0,0.11418807506561279,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1226,1.0,1.0,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,whether the President is of the same party or the other party,1.0,0.029459288343787193,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",the rainforest still managed to thrive,1.0,0.5978351831436157,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,horror,0.0,0.37734895944595337,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,LBJ's Civil Rights Act,1.0,0.06469736993312836,1.0,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,to recover their aircraft,1.0,0.4410005211830139,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,St. Barthélemy,0.0,-0.006059812381863594,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Spirochaetes,1.0,0.8243637084960938,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,West Indians,0.0,0.35986217856407166,0.0,0.0,0.0
35,What did the Guardian name her?,Artist of the Decade,Vergiliana,0.0,0.027004491537809372,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.81688392162323,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,"lunar orbit as close as 47,400 feet (14.4 km) above the surface, the point where the powered descent to the surface",0.0,0.09250950813293457,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,Napoleonic Concordat of 1801,1.0,0.01475431676954031,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,1.0000001192092896,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",mitochondrial DNA or Y chromosome sequences,0.0,-0.053619902580976486,0.0,0.0,0.0
41,When did the first free election take place?,1492,1975,0.0,0.3582106828689575,0.0,0.0,0.0
