questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=ac8e9c286327aea24d00bceb002b08ad3fbc3007673c77da9b48b6b6b91aa76f, content: ' Some rites of the domus (household) were held in public places but were legally defined as privata ...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 185.7836198788653)]",1.0,0.9999999403953552,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,January 2010,"[Document(id=5987439923479496ef29d3e07778d456397d370fee0aa96398bfcb29d803683b, content: ' On January 8, 2009, Dell announced that it would move all Dell manufacturing in Limerick to Dell's ...', meta: {'name': 'Dell', 'source_id': '2a4fe0f2b4ecfc25a3563020204c8a55c9674b77ca6df3c224557299cb0a5581', 'page_number': 1}, score: 92.3397989607895)]",0.0,0.3453691005706787,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Tora Bora,"[Document(id=edf1d880f9644a86ef60cf78769e6b01b8387a648936eb886b2a89ea73f13424, content: ' On 7 October 2001, the official invasion began with British and U.S. forces conducting airstrike ca...', meta: {'name': 'War_on_Terror', 'source_id': 'b9ac47a39d382362992253f0ccfa0072ea6216fe1daa748c4899980b467292f4', 'page_number': 1}, score: 170.61233506154028)]",0.0,0.154091477394104,0.0,0.0,0.0
The Modern English ending -'s is derived from what ending in Old English?,-es,"Ænglisc, Anglisc, Englisc","[Document(id=d806131552e88e82e2690be85e2fbf31773e47614f5d7a8efdc4ab729427ca2b, content: 'Old English (Ænglisc, Anglisc, Englisc) or Anglo-Saxon is the earliest historical form of the Englis...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 109.78878002154552)]",1.0,0.1304444968700409,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,"low-church"" traditions of Protestantism","[Document(id=70acdc5f12009efe2ebd2dd786809c97eacf0dc441dc5d0ed86857bd7db13270, content: ' Also, with the advent of the internet, many teachers are now selling their lesson plans to other te...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 111.66204991140583)]",1.0,0.12859657406806946,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,"Panathinaikos, Olympiacos, Aris Thessaloniki, AEK Athens, P.A.O.K, Maroussi","[Document(id=76be05dc0de2dfbcf6d3d16e80abbfa4ee57f55d30696681b941ecd6ff700822, content: 'O.K. Greek basketball teams are the most successful in European basketball the last 25 years, having...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 174.66555941263255)]",1.0,0.3749234676361084,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=17489faf6fb39343de67cc2bfe448e959559775109bb646aa0e4d02b716ddf77, content: ' Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two sea...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 107.71739626930493)]",1.0,0.7108100056648254,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=1c8a379dc092fa8d374927640e6d16f46286416581451c66a1da80fef1412acc, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 129.0274963398839)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=1eed45d4c946ec058384afdd313db9b847d2b384629f1872466e03c7bc13a2e5, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 173.3412040228327)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=b99c33e3f1152b05cb402034099d36d6b8fc3942c6deb97d0de9d7f47d56c738, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 166.68434734067063)]",1.0,0.12825782597064972,1.0,1.0,1.0
