questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=3c9b5484de418625b08e3d8f4e3c3398f40f2f5af0bbf48528ee46ea38c64e7c, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5597276623459511)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,15 days later,"[Document(id=b1a7bf3d4ede00a180df1d10e5220cf7adfe31e6c297fec3813651acf8043c8f, content: ' In May 1957 Diem, then President of South Vietnam, made a state visit to the United States for ten ...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.342617954858916)]",0.0,0.24934425950050354,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Coventry,"[Document(id=93c78551f27ece2b380d8a30b1c8852063e2afe373bf66ac0ff8fc705d37f96c, content: ' On 19 November 1940 the famous RAF night fighter ace John Cunningham shot down a Ju 88 bomber using...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5731025412729198)]",1.0,0.5261203050613403,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e9007dae49d8af7b7fa7932aef22bbdc01132df7a83250c1516203d03c7a8b4b, content: ' It is most “important to recognize that in many words the English and Scandinavian language differe...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.6303054320453825)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=b43e607046d3a9f2878f76721d6d75cb6c46d2bdb38f6b3fdc5f1b9a2f23a163, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.5091397083739027)]",1.0,0.4012155532836914,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=4af194e6a549f3cca324fac69732006a675ddeb8e841c964604dff19122e4f16, content: 'O.K, Maroussi) have won 3 Triple Crowns, 5 Saporta Cups, 2 Korać Cups and 1 FIBA Europe Champions Cu...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6223667259906489)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,four,"[Document(id=64448bd26ee757122a322e3c87d03eaf23b7b9bfaa5b939f12b70c7a629dd6d7, content: ' This season's judging panel consisted of Randy Jackson, along with Mariah Carey, Keith Urban and Ni...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.4864700329068361)]",1.0,1.0,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=2296ed852027297f8181dc1f64af4fcbb66e36bb282c6197423888ce9d011df5, content: '9–14 μm) and produce images of that radiation. Since infrared radiation is emitted by all objects ba...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6292707894619731)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=5dac70957842f214d4c60f76564b27a7e657cd237c677ed236d1ed1ca76e360f, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6064028863553603)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,Bremen and Bremerhaven,"[Document(id=48379d700246108e0c3da307a3a8e5de24d8bee4044a5988144f1d9cd57b09c2, content: 'Germany is a federal republic consisting of sixteen federal states (German: Bundesland, or Land).[a]...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5087021851568686)]",1.0,1.0,1.0,1.0,1.0
