,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid,1.0,1.0000001192092896,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,The form of hydrogen and carbon is called hydrocarbons.,1.0,0.6338262557983398,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,Bored,1.0,1.0000001192092896,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,"Members of the police and the armed forces, as well as civil servants and members of foreign legislatures, are disqualified from sitting in the Scottish Parliament as elected MSPs.",1.0,0.39270949363708496,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,None.,0.0,0.14864429831504822,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,The Mac Mini and Mac Pro took the place of Mac's Xserve server.,1.0,0.5314602255821228,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,"One example of an application that videoconferencing manufacturers have begun to offer is the capability for hand-held mobile devices to combine video, audio, and on-screen drawing capabilities for real-time broadcasting over secure networks, independent of location.",1.0,0.5036810636520386,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,"The Italian dialects are referred to as ""dialetti"" in the Italian language.",1.0,0.6092491745948792,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,The Calvin cycle.,1.0,0.9623012542724609,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,Studio management,1.0,0.5615224838256836,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None,0.0,0.14075413346290588,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice, Integrity",1.0,0.9788500666618347,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,2008,1.0,0.6712614297866821,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,The integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.3729386031627655,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",The BBC and Sky Sports had FA Cup coverage from 1988-1997.,1.0,0.925662636756897,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.29982441663742065,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None,0.0,0.19397997856140137,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant or manager of a pub is properly known as the ""pub landlord"".",1.0,0.7788370847702026,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","Over 22,000 people signed a petition in protest of Everton FC's crest redesign in 2013.",1.0,0.3012326955795288,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,None,0.0,0.18946921825408936,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,None,1.0,0.1046193540096283,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,Four years.,1.0,0.5111954808235168,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,"The investigation under school casualties occurred since December 2008 by non-governmental volunteers, with updates being posted on Ai Weiwei's blog since March 2009.",1.0,0.3377649784088135,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,Liang Ji was forced to commit suicide.,1.0,0.5424989461898804,1.0,1.0,1.0
